https://api.chucknorris.io/jokes/JcUi1D65QVejYEw960bP1g,A chastity belt has never stopped Chuck Norris.
https://api.chucknorris.io/jokes/j5hzizlaT3KeDm71t_qbfA,Jiggy gets Chuck Norris widdit.
https://api.chucknorris.io/jokes/qYKR64gaTy2Sfbr8r1QbOg,Absolute zero has two definitions: 1) The coldest temperature possible. 2) Your chances of survival in a fight with Chuck Norris.
https://api.chucknorris.io/jokes/tccwPeh5StqeMYKoovrbyg,Chuck Norris can beat the impossible game......without dying.
https://api.chucknorris.io/jokes/3jjiurn2tayf4doo2yfqig,Chuck Norris will attain statehood in 2009. His state flower will be the Magnolia.
https://api.chucknorris.io/jokes/y07gjCzhRvm48EOi0gdw5A,Chuck Norris was never born; he just decided to exist.
https://api.chucknorris.io/jokes/sC-0UNojT1OOWx6nJA1r3A,There is no such thing as global warming just Chuck Norris farting after him eating a bean burrito.
https://api.chucknorris.io/jokes/ughqsstqtmihbbknicskaq,"Chuck Norris doesn't needs try-catch exceptions are too afraid to raise."
https://api.chucknorris.io/jokes/TtEwNyYGTy-Jr1gz58DcZA,"21 December 2012 was to be the day the Mayans predicted somebody would tell Chuck Norris that he's not so cool after all."
https://api.chucknorris.io/jokes/LhA20VBXSnq8V8vWskE2FQ,Chuck Norris can kill over 9000 ailens birds noobs people with only oen rock
